Total_s150,Total_s220,Total_s380,Total_s66,Datum,Kabel_s150,Kabel_s220,Kabel_s380,Kabel_s66,Total_s132B,Kabel_s132B,Total_s66B,Kabel_s66B
3157658.8564831493,4857296.785328758,1915187.110053111,6565545.187123508,2023-10-23,1205104.180882255,25013.2090029019,22044.578658731843,1332876.168914912,1,1,1,1
3157658.8564831493,4857296.785328758,1915187.110053111,6565545.187123508,2023-10-24,1205104.180882255,25013.2090029019,22044.578658731843,1332876.168914912,1,1,1,1
3157658.8564831493,4857296.785328758,1915187.110053111,6565545.187123508,2023-10-25,1205104.180882255,25013.2090029019,22044.578658731843,1332876.168914912,1,1,1,1
3162410.792264012,4931389.762038622,1933006.4713207898,6461447.129468929,2023-10-26,1209856.116663118,25119.814821854165,28049.7849802,1336724.2585617243,1,1,1,1
3162410.792264012,4931389.762038622,1933006.4713207898,6461447.129468929,2023-10-31,1209856.116663118,25119.814821854165,28049.7849802,1336724.2585617243,1,1,1,1
3162410.792264012,4931389.762038622,1933006.4713207898,6461447.129468929,2023-11-01,1209856.116663118,25119.814821854165,28049.7849802,1336724.2585617243,1,1,1,1
3162410.792264012,4931389.762038622,1933006.4713207898,6461447.129468929,2023-11-02,1209856.116663118,25119.814821854165,28049.7849802,1336724.2585617243,1,1,1,1
3162410.792264012,4931389.762038622,1933006.4713207898,6461447.129468929,2023-11-03,1209856.116663118,25119.814821854165,28049.7849802,1336724.2585617243,1,1,1,1
3162410.792264012,4931389.762038622,1933006.4713207898,6461447.129468929,2023-11-04,1209856.116663118,25119.814821854165,28049.7849802,1336724.2585617243,1,1,1,1
3162410.792264012,4931389.762038622,1933006.4713207898,6461447.129468929,2023-11-05,1209856.116663118,25119.814821854165,28049.7849802,1336724.2585617243,1,1,1,1
3162410.792264012,4931389.762038622,1933006.4713207898,6461447.129468929,2023-11-06,1209856.116663118,25119.814821854165,28049.7849802,1336724.2585617243,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-07,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-08,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-09,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-10,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-11,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-12,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-13,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-14,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-15,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-16,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-17,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-18,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-19,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-20,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-21,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-22,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-23,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-24,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
