StromnetzTyp,StationTyp,Anzahl,Datum
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-19
Allgemeinstrom,Unterwerk,279,2023-08-19
Allgemeinstrom,Kraftwerk,5,2023-08-20
Allgemeinstrom,Transformatorenstation,186,2023-08-20
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-20
Allgemeinstrom,Unterwerk,279,2023-08-20
Allgemeinstrom,Kraftwerk,5,2023-08-21
Allgemeinstrom,Transformatorenstation,186,2023-08-21
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-21
Allgemeinstrom,Unterwerk,279,2023-08-21
Allgemeinstrom,Kraftwerk,5,2023-08-22
Allgemeinstrom,Transformatorenstation,186,2023-08-22
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-22
Allgemeinstrom,Unterwerk,279,2023-08-22
Allgemeinstrom,Kraftwerk,5,2023-08-23
Allgemeinstrom,Transformatorenstation,186,2023-08-23
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-23
Allgemeinstrom,Unterwerk,279,2023-08-23
Allgemeinstrom,Kraftwerk,5,2023-08-24
Allgemeinstrom,Transformatorenstation,186,2023-08-24
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-24
Allgemeinstrom,Unterwerk,279,2023-08-24
Allgemeinstrom,Kraftwerk,5,2023-08-25
Allgemeinstrom,Transformatorenstation,186,2023-08-25
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-25
Allgemeinstrom,Unterwerk,279,2023-08-25
Allgemeinstrom,Kraftwerk,5,2023-08-26
Allgemeinstrom,Transformatorenstation,186,2023-08-26
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-26
Allgemeinstrom,Unterwerk,279,2023-08-26
Allgemeinstrom,Kraftwerk,5,2023-08-27
Allgemeinstrom,Transformatorenstation,186,2023-08-27
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-27
Allgemeinstrom,Unterwerk,279,2023-08-27
Allgemeinstrom,Kraftwerk,5,2023-08-28
Allgemeinstrom,Transformatorenstation,186,2023-08-28
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-28
Allgemeinstrom,Unterwerk,279,2023-08-28
Allgemeinstrom,Kraftwerk,5,2023-08-29
Allgemeinstrom,Transformatorenstation,186,2023-08-29
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-29
Allgemeinstrom,Unterwerk,281,2023-08-29
Allgemeinstrom,Kraftwerk,5,2023-08-30
Allgemeinstrom,Transformatorenstation,186,2023-08-30
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-30
Allgemeinstrom,Unterwerk,281,2023-08-30
Allgemeinstrom,Kraftwerk,5,2023-08-31
Allgemeinstrom,Transformatorenstation,186,2023-08-31
Allgemeinstrom,Uebergangsbauwerk,3,2023-08-31
Allgemeinstrom,Unterwerk,281,2023-08-31
Allgemeinstrom,Kraftwerk,5,2023-09-02
Allgemeinstrom,Transformatorenstation,186,2023-09-02
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-02
Allgemeinstrom,Unterwerk,299,2023-09-02
Allgemeinstrom,Kraftwerk,5,2023-09-03
Allgemeinstrom,Transformatorenstation,186,2023-09-03
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-03
Allgemeinstrom,Unterwerk,299,2023-09-03
Allgemeinstrom,Kraftwerk,5,2023-09-04
Allgemeinstrom,Transformatorenstation,186,2023-09-04
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-04
Allgemeinstrom,Unterwerk,299,2023-09-04
Allgemeinstrom,Kraftwerk,5,2023-09-05
Allgemeinstrom,Transformatorenstation,186,2023-09-05
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-05
Allgemeinstrom,Unterwerk,299,2023-09-05
Allgemeinstrom,Kraftwerk,5,2023-09-06
Allgemeinstrom,Transformatorenstation,186,2023-09-06
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-06
Allgemeinstrom,Unterwerk,299,2023-09-06
Allgemeinstrom,Kraftwerk,5,2023-09-07
Allgemeinstrom,Transformatorenstation,186,2023-09-07
